q,p,deg_p,class_count,U,E,largest_incomplete_degree,evidence_grade,source_record
2,T,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
2,T + 1,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
2,T^2 + T + 1,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
2,T^3 + T + 1,3,3,8,6,5,strict family audit,results/detailed/characteristics.csv
2,T^3 + T^2 + 1,3,3,8,6,5,strict family audit,results/detailed/characteristics.csv
2,T^4 + T + 1,4,5,6,3,2,strict family audit,results/detailed/characteristics.csv
2,T^4 + T^3 + 1,4,5,6,5,4,strict family audit,results/detailed/characteristics.csv
2,T^4 + T^3 + T^2 + T + 1,4,5,6,5,4,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^2 + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^3 + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^3 + T^2 + T + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^4 + T^2 + T + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^4 + T^3 + T + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^5 + T^4 + T^3 + T^2 + 1,5,11,12,10,9,strict family audit,results/detailed/characteristics.csv
2,T^6 + T + 1,6,21,11,8,7,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^3 + 1,6,21,11,8,7,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^4 + T^2 + T + 1,6,21,11,8,7,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^4 + T^3 + T + 1,6,21,11,8,7,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^5 + 1,6,21,11,9,8,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^5 + T^2 + T + 1,6,21,11,9,8,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^5 + T^3 + T^2 + 1,6,21,11,9,8,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^5 + T^4 + T + 1,6,21,11,9,8,strict family audit,results/detailed/characteristics.csv
2,T^6 + T^5 + T^4 + T^2 + 1,6,21,11,9,8,strict family audit,results/detailed/characteristics.csv
2,T^7 + T + 1,7,43,16,12,11,strict family audit,results/detailed/characteristics.csv
2,T^7 + T^3 + 1,7,43,16,12,11,strict family audit,results/detailed/characteristics.csv
2,T^7 + T^3 + T^2 + T + 1,7,43,16,12,11,strict family audit,results/detailed/characteristics.csv
