q,deg_p,characteristics,U,E_distribution,min_E,max_E
2,1,2,1,1 (2),1,1
2,2,1,1,1 (1),1,1
2,3,2,8,6 (2),6,6
2,4,3,6,"3 (1), 5 (2)",3,5
2,5,6,12,10 (6),10,10
2,6,9,11,"8 (4), 9 (5)",8,9
2,7,18,16,"12 (16), 14 (2)",12,14
2,8,30,15,"11 (20), 12 (10)",11,12
2,9,56,20,"14 (2), 16 (54)",14,16
3,1,3,1,1 (3),1,1
3,2,3,1,1 (3),1,1
3,3,8,6,4 (8),4,4
3,4,18,6,"4 (9), 5 (9)",4,5
3,5,48,10,8 (48),8,8
4,1,4,1,1 (4),1,1
4,2,6,1,1 (6),1,1
4,3,20,6,"4 (8), 6 (12)",4,6
4,4,60,5,"4 (12), 5 (48)",4,5
5,1,5,1,1 (5),1,1
5,2,10,1,1 (10),1,1
5,3,40,6,4 (40),4,4
5,4,150,5,"4 (130), 5 (20)",4,5
7,1,7,1,1 (7),1,1
7,2,21,1,1 (21),1,1
7,3,112,5,4 (112),4,4
8,1,8,1,1 (8),1,1
8,2,28,1,1 (28),1,1
8,3,168,5,4 (168),4,4
11,1,11,1,1 (11),1,1
11,2,55,1,1 (55),1,1
11,3,440,5,4 (440),4,4
