q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,vectors_visited,result_directory,result_file
2,T,1,1,1,1,0,0,,0,results/q2,p_T.json
2,T + 1,1,1,1,1,0,0,,0,results/q2,p_T_1.json
2,T^2 + T + 1,2,1,1,1,0,0,,0,results/q2,p_T2_T_1.json
2,T^3 + T + 1,3,3,8,6,40,5,5,147447,results/q2,p_T3_T_1.json
2,T^3 + T^2 + 1,3,3,8,6,40,5,5,147447,results/q2,p_T3_T2_1.json
2,T^4 + T + 1,4,5,6,3,13,3,2,12775,results/q2,p_T4_T_1.json
2,T^4 + T^3 + 1,4,5,6,5,13,6,4,12775,results/q2,p_T4_T3_1.json
2,T^4 + T^3 + T^2 + T + 1,4,5,6,5,13,6,4,12775,results/q2,p_T4_T3_T2_T_1.json
2,T^5 + T^2 + 1,5,11,12,10,411,31,9,7929735,results/q2,p_T5_T2_1.json
2,T^5 + T^3 + 1,5,11,12,10,411,33,9,7929735,results/q2,p_T5_T3_1.json
2,T^5 + T^3 + T^2 + T + 1,5,11,12,10,411,30,9,7929735,results/q2,p_T5_T3_T2_T_1.json
2,T^5 + T^4 + T^2 + T + 1,5,11,12,10,411,31,9,7929735,results/q2,p_T5_T4_T2_T_1.json
2,T^5 + T^4 + T^3 + T + 1,5,11,12,10,411,30,9,7929735,results/q2,p_T5_T4_T3_T_1.json
2,T^5 + T^4 + T^3 + T^2 + 1,5,11,12,10,411,33,9,7929735,results/q2,p_T5_T4_T3_T2_1.json
2,T^6 + T + 1,6,21,11,8,225,26,7,57802311,results/q2,p_T6_T_1.json
2,T^6 + T^3 + 1,6,21,11,8,225,28,7,57802311,results/q2,p_T6_T3_1.json
2,T^6 + T^4 + T^2 + T + 1,6,21,11,8,225,26,7,57802311,results/q2,p_T6_T4_T2_T_1.json
2,T^6 + T^4 + T^3 + T + 1,6,21,11,8,225,28,7,57802311,results/q2,p_T6_T4_T3_T_1.json
2,T^6 + T^5 + 1,6,21,11,9,225,30,8,57802311,results/q2,p_T6_T5_1.json
2,T^6 + T^5 + T^2 + T + 1,6,21,11,9,225,30,8,57802311,results/q2,p_T6_T5_T2_T_1.json
2,T^6 + T^5 + T^3 + T^2 + 1,6,21,11,9,225,30,8,57802311,results/q2,p_T6_T5_T3_T2_1.json
2,T^6 + T^5 + T^4 + T + 1,6,21,11,9,225,33,8,57802311,results/q2,p_T6_T5_T4_T_1.json
2,T^6 + T^5 + T^4 + T^2 + 1,6,21,11,9,225,33,8,57802311,results/q2,p_T6_T5_T4_T2_1.json
2,T^7 + T + 1,7,43,16,12,4719,154,11,485738877,results/q2_degree7_compact,p_T7_T_1.compact.json
2,T^7 + T^3 + 1,7,43,16,12,4719,153,11,508611410,results/q2_degree7_compact,p_T7_T3_1.compact.json
2,T^7 + T^3 + T^2 + T + 1,7,43,16,12,4719,133,11,474838647,results/q2_degree7_compact,p_T7_T3_T2_T_1.compact.json
2,T^7 + T^4 + 1,7,43,16,12,4719,156,11,476160964,results/q2_degree7_compact,p_T7_T4_1.compact.json
2,T^7 + T^4 + T^3 + T^2 + 1,7,43,16,12,4719,148,11,473901599,results/q2_degree7_compact,p_T7_T4_T3_T2_1.compact.json
2,T^7 + T^5 + T^2 + T + 1,7,43,16,12,4719,151,11,479202412,results/q2_degree7_compact,p_T7_T5_T2_T_1.compact.json
2,T^7 + T^5 + T^3 + T + 1,7,43,16,12,4719,158,11,488280059,results/q2_degree7_compact,p_T7_T5_T3_T_1.compact.json
2,T^7 + T^5 + T^4 + T^3 + 1,7,43,16,14,4719,148,13,478509630,results/q2_degree7_compact,p_T7_T5_T4_T3_1.compact.json
2,T^7 + T^5 + T^4 + T^3 + T^2 + T + 1,7,43,16,12,4719,146,11,468263225,results/q2_degree7_compact,p_T7_T5_T4_T3_T2_T_1.compact.json
