q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,unordered_pairs,pair_level_decisions,vectors_visited,result_file
2,T^8 + T^4 + T^3 + T + 1,8,85,15,12,2537,137,11,3655,9272735,4924617583,p_T8_T4_T3_T_1.compact.json
2,T^8 + T^4 + T^3 + T^2 + 1,8,85,15,12,2537,137,11,3655,9272735,4930631131,p_T8_T4_T3_T2_1.compact.json
2,T^8 + T^5 + T^3 + T + 1,8,85,15,11,2537,147,10,3655,9272735,4905890347,p_T8_T5_T3_T_1.compact.json
2,T^8 + T^5 + T^3 + T^2 + 1,8,85,15,11,2537,148,10,3655,9272735,4902285730,p_T8_T5_T3_T2_1.compact.json
2,T^8 + T^5 + T^4 + T^3 + 1,8,85,15,11,2537,148,10,3655,9272735,4902285730,p_T8_T5_T4_T3_1.compact.json
2,T^8 + T^5 + T^4 + T^3 + T^2 + T + 1,8,85,15,11,2537,147,10,3655,9272735,4905890347,p_T8_T5_T4_T3_T2_T_1.compact.json
2,T^8 + T^6 + T^3 + T^2 + 1,8,85,15,11,2537,136,10,3655,9272735,4911393331,p_T8_T6_T3_T2_1.compact.json
2,T^8 + T^6 + T^4 + T^3 + T^2 + T + 1,8,85,15,11,2537,136,10,3655,9272735,4911393331,p_T8_T6_T4_T3_T2_T_1.compact.json
2,T^8 + T^6 + T^5 + T + 1,8,85,15,11,2537,146,10,3655,9272735,4936960915,p_T8_T6_T5_T_1.compact.json
2,T^8 + T^6 + T^5 + T^2 + 1,8,85,15,11,2537,146,10,3655,9272735,4936960915,p_T8_T6_T5_T2_1.compact.json
2,T^8 + T^6 + T^5 + T^3 + 1,8,85,15,11,2537,150,10,3655,9272735,4910699691,p_T8_T6_T5_T3_1.compact.json
2,T^8 + T^6 + T^5 + T^4 + 1,8,85,15,11,2537,151,10,3655,9272735,4940310685,p_T8_T6_T5_T4_1.compact.json
2,T^8 + T^6 + T^5 + T^4 + T^2 + T + 1,8,85,15,11,2537,151,10,3655,9272735,4940310685,p_T8_T6_T5_T4_T2_T_1.compact.json
2,T^8 + T^6 + T^5 + T^4 + T^3 + T + 1,8,85,15,11,2537,151,10,3655,9272735,4923547256,p_T8_T6_T5_T4_T3_T_1.compact.json
2,T^8 + T^7 + T^2 + T + 1,8,85,15,12,2537,153,11,3655,9272735,4949542032,p_T8_T7_T2_T_1.compact.json
2,T^8 + T^7 + T^3 + T + 1,8,85,15,12,2537,156,11,3655,9272735,4914083710,p_T8_T7_T3_T_1.compact.json
2,T^8 + T^7 + T^3 + T^2 + 1,8,85,15,12,2537,159,11,3655,9272735,4911820532,p_T8_T7_T3_T2_1.compact.json
2,T^8 + T^7 + T^4 + T^3 + T^2 + T + 1,8,85,15,11,2537,155,10,3655,9272735,4926677988,p_T8_T7_T4_T3_T2_T_1.compact.json
2,T^8 + T^7 + T^5 + T + 1,8,85,15,11,2537,150,10,3655,9272735,4924143373,p_T8_T7_T5_T_1.compact.json
2,T^8 + T^7 + T^5 + T^3 + 1,8,85,15,12,2537,169,11,3655,9272735,4902583148,p_T8_T7_T5_T3_1.compact.json
2,T^8 + T^7 + T^5 + T^4 + 1,8,85,15,11,2537,163,10,3655,9272735,4960917656,p_T8_T7_T5_T4_1.compact.json
2,T^8 + T^7 + T^5 + T^4 + T^3 + T^2 + 1,8,85,15,11,2537,150,10,3655,9272735,4922314608,p_T8_T7_T5_T4_T3_T2_1.compact.json
2,T^8 + T^7 + T^6 + T + 1,8,85,15,12,2537,169,11,3655,9272735,4902583148,p_T8_T7_T6_T_1.compact.json
2,T^8 + T^7 + T^6 + T^3 + T^2 + T + 1,8,85,15,11,2537,150,10,3655,9272735,4924143373,p_T8_T7_T6_T3_T2_T_1.compact.json
2,T^8 + T^7 + T^6 + T^4 + T^2 + T + 1,8,85,15,11,2537,150,10,3655,9272735,4922314608,p_T8_T7_T6_T4_T2_T_1.compact.json
2,T^8 + T^7 + T^6 + T^4 + T^3 + T^2 + 1,8,85,15,11,2537,163,10,3655,9272735,4960917656,p_T8_T7_T6_T4_T3_T2_1.compact.json
2,T^8 + T^7 + T^6 + T^5 + T^2 + T + 1,8,85,15,11,2537,155,10,3655,9272735,4926677988,p_T8_T7_T6_T5_T2_T_1.compact.json
2,T^8 + T^7 + T^6 + T^5 + T^4 + T + 1,8,85,15,12,2537,156,11,3655,9272735,4914083710,p_T8_T7_T6_T5_T4_T_1.compact.json
2,T^8 + T^7 + T^6 + T^5 + T^4 + T^2 + 1,8,85,15,12,2537,159,11,3655,9272735,4911820532,p_T8_T7_T6_T5_T4_T2_1.compact.json
2,T^8 + T^7 + T^6 + T^5 + T^4 + T^3 + 1,8,85,15,12,2537,153,11,3655,9272735,4949542032,p_T8_T7_T6_T5_T4_T3_1.compact.json
